cluster_key,canonical_chosen,raw_variants,reason
abbr_collision:CSSRS,,C-SSRS (Columbia-Suicide Severity Rating Scale) / Columbia Suicidal Severity Rating Scale (C-SSRS) / Columbia Suicide Severity Rating Scale (C-SSRS) / Columbia Suicide Severity Rating Scale (CSSRS) / Columbia Suicide Severity Rating Scale Screener (C-SSRS) / Columbia Suicide-Severity Rating Scale (C-SSRS) / Columbia-Suicide Severity Rating Scale (C-SSRS) / Columbia-Suicide Severity Rating Scale (CSSR-S) / Columbia-Suicide Severity Rating Scale (CSSRS) / Columbia-suicide severity rating scale (C-SSRS) / Columbia–Suicide Severity Rating Scale (CSSRS) || Arabic-validated Columbia-Suicide Severity Rating Scale (C-SSRS) || Columbia Suicide Severity Rating Scale-Lifetime version (C-SSRS) || Columbia-Suicide Severity Rating Scale-Children Baseline Screening (C-SSRS) || Modified Columbia-Suicide Severity Rating Scale (C-SSRS),SPLIT: abbreviation 'CSSRS' used for 5 unrelated instruments
abbr_collision:HAMD,,Hamilton Depression Rating Scale (HAM-D) / Hamilton Depression Scale (HAMD) || Hamilton Rating Scale for Depression (HAM-D) || Item 3 on the 17-item Hamilton Depression Rating Scale (HAM-D),SPLIT: abbreviation 'HAMD' used for 3 unrelated instruments
abbr_collision:PHQ9,,PHQ-9 (Patient Health Questionnaire-9) / Patient Health Questionnaire-9 (PHQ-9) / Patient Health Questionnaire-9 item (PHQ9) || 9-item Patient Health Questionnaire (PHQ-9) / Patient Health Questionnaire (PHQ-9) || Patient Health Questionnaire 9 (PHQ-9) / Patient Health Questionnaire—9 (PHQ-9) || Item 9 of the nine-item Patient Health Questionnaire (PHQ-9),SPLIT: abbreviation 'PHQ9' used for 4 unrelated instruments
abbr_collision:SBQASC,,Suicidal Behaviours Questionnaire (SBQ-ASC) || Suicide Behaviors Questionnaire–Autism Spectrum Conditions (SBQ-ASC),SPLIT: abbreviation 'SBQASC' used for 2 unrelated instruments
abbr_collision:ASIQ,,25-Item Adult Suicidal Ideation Questionnaire (ASIQ) / Adult Suicidal Ideation Questionnaire (ASIQ) || Anxiety Sensitivity Index Questionnaire (ASIQ),SPLIT: abbreviation 'ASIQ' used for 2 unrelated instruments
abbr_collision:SIQ,,Suicidal Ideation Questionnaire (SIQ) / Suicide Ideation Questionnaire (SIQ) || Suicidal Imagery Questionnaire (SIQ),SPLIT: abbreviation 'SIQ' used for 2 unrelated instruments
abbr_collision:ASQ,,ASK Suicide-Screening Questions (ASQ) / Ask Suicide-Screening Questionnaire (ASQ) / Ask Suicide-Screening Questions (ASQ) / Ask Suicide-screening Questions (ASQ) || Ask Suicide Questionnaire (ASQ),SPLIT: abbreviation 'ASQ' used for 2 unrelated instruments
abbr_collision:SSI,,Beck Scale for Suicidal Ideation (SSI) / Beck Scale for Suicide Ideation (SSI) / Scale for Suicidal Ideation (SSI) || Scale for Suicide Ideation (SSI) || Beck Suicidal Ideas Scale (SSI),SPLIT: abbreviation 'SSI' used for 3 unrelated instruments
abbr_collision:STORM,,Stratification Tool for Opioid Risk Mitigation (STORM) || Skills based Training on Risk Management (STORM),SPLIT: abbreviation 'STORM' used for 2 unrelated instruments
abbr_collision:SIS,,Beck Suicide Intent Scale (SIS) / Suicide Intent Scale (SIS) || Suicidal Ideation Scale (SIS) || Suicidal Intent Scale (SIS),SPLIT: abbreviation 'SIS' used for 3 unrelated instruments
